,entry_id,updated,published,title,authors,summary,comment,journal_ref,doi,primary_category,categories,links,pdf_url
0,http://arxiv.org/abs/2105.05621v1,2021-05-12 12:30:02+00:00,2021-05-12 12:30:02+00:00,NLP for Climate Policy: Creating a Knowledge Platform for Holistic and Effective Climate Action,"['Pradip Swarnakar', 'Ashutosh Modi']","Climate change is a burning issue of our time, with the Sustainable Development Goal (SDG) 13 of the United Nations demanding global climate action. Realizing the urgency, in 2015 in Paris, world leaders signed an agreement committing to taking voluntary action to reduce carbon emissions. However, the scale, magnitude, and climate action processes vary globally, especially between developed and developing countries. Therefore, from parliament to social media, the debates and discussions on climate change gather data from wide-ranging sources essential to the policy design and implementation. The downside is that we do not currently have the mechanisms to pool the worldwide dispersed knowledge emerging from the structured and unstructured data sources.   The paper thematically discusses how NLP techniques could be employed in climate policy research and contribute to society's good at large. In particular, we exemplify symbiosis of NLP and Climate Policy Research via four methodologies. The first one deals with the major topics related to climate policy using automated content analysis. We investigate the opinions (sentiments) of major actors' narratives towards climate policy in the second methodology. The third technique explores the climate actors' beliefs towards pro or anti-climate orientation. Finally, we discuss developing a Climate Knowledge Graph.   The present theme paper further argues that creating a knowledge platform would help in the formulation of a holistic climate policy and effective climate action. Such a knowledge platform would integrate the policy actors' varied opinions from different social sectors like government, business, civil society, and the scientific community. The research outcome will add value to effective climate action because policymakers can make informed decisions by looking at the diverse public opinion on a comprehensive platform.",12 Pages (8 + 4 pages for references),,,cs.CL,"['cs.CL', 'cs.AI']","['http://arxiv.org/abs/2105.05621v1', 'http://arxiv.org/pdf/2105.05621v1']",http://arxiv.org/pdf/2105.05621v1
1,http://arxiv.org/abs/2012.00614v2,2021-01-02 16:07:48+00:00,2020-12-01 16:32:54+00:00,CLIMATE-FEVER: A Dataset for Verification of Real-World Climate Claims,"['Thomas Diggelmann', 'Jordan Boyd-Graber', 'Jannis Bulian', 'Massimiliano Ciaramita', 'Markus Leippold']","We introduce CLIMATE-FEVER, a new publicly available dataset for verification of climate change-related claims. By providing a dataset for the research community, we aim to facilitate and encourage work on improving algorithms for retrieving evidential support for climate-specific claims, addressing the underlying language understanding challenges, and ultimately help alleviate the impact of misinformation on climate change. We adapt the methodology of FEVER [1], the largest dataset of artificially designed claims, to real-life claims collected from the Internet. While during this process, we could rely on the expertise of renowned climate scientists, it turned out to be no easy task. We discuss the surprising, subtle complexity of modeling real-world climate-related claims within the \textsc{fever} framework, which we believe provides a valuable challenge for general natural language understanding. We hope that our work will mark the beginning of a new exciting long-term joint effort by the climate science and AI community.","Accepted for the Tackling Climate Change with Machine Learning
  Workshop at NeurIPS 2020",,,cs.CL,"['cs.CL', 'cs.AI']","['http://arxiv.org/abs/2012.00614v2', 'http://arxiv.org/pdf/2012.00614v2']",http://arxiv.org/pdf/2012.00614v2
2,http://arxiv.org/abs/2011.12443v1,2020-11-24 23:34:54+00:00,2020-11-24 23:34:54+00:00,The Human Effect Requires Affect: Addressing Social-Psychological Factors of Climate Change with Machine Learning,"['Kyle Tilbury', 'Jesse Hoey']","Machine learning has the potential to aid in mitigating the human effects of climate change. Previous applications of machine learning to tackle the human effects in climate change include approaches like informing individuals of their carbon footprint and strategies to reduce it. For these methods to be the most effective they must consider relevant social-psychological factors for each individual. Of social-psychological factors at play in climate change, affect has been previously identified as a key element in perceptions and willingness to engage in mitigative behaviours. In this work, we propose an investigation into how affect could be incorporated to enhance machine learning based interventions for climate change. We propose using affective agent-based modelling for climate change as well as the use of a simulated climate change social dilemma to explore the potential benefits of affective machine learning interventions. Behavioural and informational interventions can be a powerful tool in helping humans adopt mitigative behaviours. We expect that utilizing affective ML can make interventions an even more powerful tool and help mitigative behaviours become widely adopted.","Accepted paper at the Tackling Climate Change with Machine Learning
  workshop at NeurIPS 2020",,,cs.AI,['cs.AI'],"['http://arxiv.org/abs/2011.12443v1', 'http://arxiv.org/pdf/2011.12443v1']",http://arxiv.org/pdf/2011.12443v1
3,http://arxiv.org/abs/2108.10855v2,2021-12-10 07:35:34+00:00,2021-07-28 19:00:33+00:00,Quantum Artificial Intelligence for the Science of Climate Change,"['Manmeet Singh', 'Chirag Dhara', 'Adarsh Kumar', 'Sukhpal Singh Gill', 'Steve Uhlig']","Climate change has become one of the biggest global problems increasingly compromising the Earth's habitability. Recent developments such as the extraordinary heat waves in California & Canada, and the devastating floods in Germany point to the role of climate change in the ever-increasing frequency of extreme weather. Numerical modelling of the weather and climate have seen tremendous improvements in the last five decades, yet stringent limitations remain to be overcome. Spatially and temporally localized forecasting is the need of the hour for effective adaptation measures towards minimizing the loss of life and property. Artificial Intelligence-based methods are demonstrating promising results in improving predictions, but are still limited by the availability of requisite hardware and software required to process the vast deluge of data at a scale of the planet Earth. Quantum computing is an emerging paradigm that has found potential applicability in several fields. In this opinion piece, we argue that new developments in Artificial Intelligence algorithms designed for quantum computers - also known as Quantum Artificial Intelligence (QAI) - may provide the key breakthroughs necessary to furthering the science of climate change. The resultant improvements in weather and climate forecasts are expected to cascade to numerous societal benefits.",,,,cs.AI,"['cs.AI', 'physics.ao-ph', 'quant-ph']","['http://arxiv.org/abs/2108.10855v2', 'http://arxiv.org/pdf/2108.10855v2']",http://arxiv.org/pdf/2108.10855v2
4,http://arxiv.org/abs/2104.04008v1,2021-04-08 18:54:21+00:00,2021-04-08 18:54:21+00:00,Handling Climate Change Using Counterfactuals: Using Counterfactuals in Data Augmentation to Predict Crop Growth in an Uncertain Climate Future,"['Mohammed Temraz', 'Eoin Kenny', 'Elodie Ruelle', 'Laurence Shalloo', 'Barry Smyth', 'Mark T Keane']","Climate change poses a major challenge to humanity, especially in its impact on agriculture, a challenge that a responsible AI should meet. In this paper, we examine a CBR system (PBI-CBR) designed to aid sustainable dairy farming by supporting grassland management, through accurate crop growth prediction. As climate changes, PBI-CBRs historical cases become less useful in predicting future grass growth. Hence, we extend PBI-CBR using data augmentation, to specifically handle disruptive climate events, using a counterfactual method (from XAI). Study 1 shows that historical, extreme climate-events (climate outlier cases) tend to be used by PBI-CBR to predict grass growth during climate disrupted periods. Study 2 shows that synthetic outliers, generated as counterfactuals on a outlier-boundary, improve the predictive accuracy of PBICBR, during the drought of 2018. This study also shows that an instance-based counterfactual method does better than a benchmark, constraint-guided method.","15 pages, 6 figures, 3 tables",,,cs.AI,['cs.AI'],"['http://arxiv.org/abs/2104.04008v1', 'http://arxiv.org/pdf/2104.04008v1']",http://arxiv.org/pdf/2104.04008v1
5,http://arxiv.org/abs/1905.03709v1,2019-05-02 15:34:53+00:00,2019-05-02 15:34:53+00:00,Visualizing the Consequences of Climate Change Using Cycle-Consistent Adversarial Networks,"['Victor Schmidt', 'Alexandra Luccioni', 'S. Karthik Mukkavilli', 'Narmada Balasooriya', 'Kris Sankaran', 'Jennifer Chayes', 'Yoshua Bengio']","We present a project that aims to generate images that depict accurate, vivid, and personalized outcomes of climate change using Cycle-Consistent Adversarial Networks (CycleGANs). By training our CycleGAN model on street-view images of houses before and after extreme weather events (e.g. floods, forest fires, etc.), we learn a mapping that can then be applied to images of locations that have not yet experienced these events. This visual transformation is paired with climate model predictions to assess likelihood and type of climate-related events in the long term (50 years) in order to bring the future closer in the viewers mind. The eventual goal of our project is to enable individuals to make more informed choices about their climate future by creating a more visceral understanding of the effects of climate change, while maintaining scientific credibility by drawing on climate model projections.",,,,cs.CV,"['cs.CV', 'cs.AI']","['http://arxiv.org/abs/1905.03709v1', 'http://arxiv.org/pdf/1905.03709v1']",http://arxiv.org/pdf/1905.03709v1
6,http://arxiv.org/abs/2210.03324v1,2022-10-07 04:52:26+00:00,2022-10-07 04:52:26+00:00,AutoML for Climate Change: A Call to Action,"['Renbo Tu', 'Nicholas Roberts', 'Vishak Prasad', 'Sibasis Nayak', 'Paarth Jain', 'Frederic Sala', 'Ganesh Ramakrishnan', 'Ameet Talwalkar', 'Willie Neiswanger', 'Colin White']","The challenge that climate change poses to humanity has spurred a rapidly developing field of artificial intelligence research focused on climate change applications. The climate change AI (CCAI) community works on a diverse, challenging set of problems which often involve physics-constrained ML or heterogeneous spatiotemporal data. It would be desirable to use automated machine learning (AutoML) techniques to automatically find high-performing architectures and hyperparameters for a given dataset. In this work, we benchmark popular AutoML libraries on three high-leverage CCAI applications: climate modeling, wind power forecasting, and catalyst discovery. We find that out-of-the-box AutoML libraries currently fail to meaningfully surpass the performance of human-designed CCAI models. However, we also identify a few key weaknesses, which stem from the fact that most AutoML techniques are tailored to computer vision and NLP applications. For example, while dozens of search spaces have been designed for image and language data, none have been designed for spatiotemporal data. Addressing these key weaknesses can lead to the discovery of novel architectures that yield substantial performance gains across numerous CCAI applications. Therefore, we present a call to action to the AutoML community, since there are a number of concrete, promising directions for future work in the space of AutoML for CCAI. We release our code and a list of resources at https://github.com/climate-change-automl/climate-change-automl.",,,,cs.LG,"['cs.LG', 'cs.AI', 'stat.ML']","['http://arxiv.org/abs/2210.03324v1', 'http://arxiv.org/pdf/2210.03324v1']",http://arxiv.org/pdf/2210.03324v1
7,http://arxiv.org/abs/2110.02871v1,2021-10-06 15:54:57+00:00,2021-10-06 15:54:57+00:00,ClimateGAN: Raising Climate Change Awareness by Generating Images of Floods,"['Victor Schmidt', 'Alexandra Sasha Luccioni', 'Mélisande Teng', 'Tianyu Zhang', 'Alexia Reynaud', 'Sunand Raghupathi', 'Gautier Cosne', 'Adrien Juraver', 'Vahe Vardanyan', 'Alex Hernandez-Garcia', 'Yoshua Bengio']","Climate change is a major threat to humanity, and the actions required to prevent its catastrophic consequences include changes in both policy-making and individual behaviour. However, taking action requires understanding the effects of climate change, even though they may seem abstract and distant. Projecting the potential consequences of extreme climate events such as flooding in familiar places can help make the abstract impacts of climate change more concrete and encourage action. As part of a larger initiative to build a website that projects extreme climate events onto user-chosen photos, we present our solution to simulate photo-realistic floods on authentic images. To address this complex task in the absence of suitable training data, we propose ClimateGAN, a model that leverages both simulated and real data for unsupervised domain adaptation and conditional image generation. In this paper, we describe the details of our framework, thoroughly evaluate components of our architecture and demonstrate that our model is capable of robustly generating photo-realistic flooding.",,ICLR 2022,,cs.CV,"['cs.CV', 'cs.AI', 'cs.CY']","['http://arxiv.org/abs/2110.02871v1', 'http://arxiv.org/pdf/2110.02871v1']",http://arxiv.org/pdf/2110.02871v1
8,http://arxiv.org/abs/2012.00483v2,2021-01-02 16:13:06+00:00,2020-12-01 13:42:37+00:00,ClimaText: A Dataset for Climate Change Topic Detection,"['Francesco S. Varini', 'Jordan Boyd-Graber', 'Massimiliano Ciaramita', 'Markus Leippold']","Climate change communication in the mass media and other textual sources may affect and shape public perception. Extracting climate change information from these sources is an important task, e.g., for filtering content and e-discovery, sentiment analysis, automatic summarization, question-answering, and fact-checking. However, automating this process is a challenge, as climate change is a complex, fast-moving, and often ambiguous topic with scarce resources for popular text-based AI tasks. In this paper, we introduce \textsc{ClimaText}, a dataset for sentence-based climate change topic detection, which we make publicly available. We explore different approaches to identify the climate change topic in various text sources. We find that popular keyword-based models are not adequate for such a complex and evolving task. Context-based algorithms like BERT \cite{devlin2018bert} can detect, in addition to many trivial cases, a variety of complex and implicit topic patterns. Nevertheless, our analysis reveals a great potential for improvement in several directions, such as, e.g., capturing the discussion on indirect effects of climate change. Hence, we hope this work can serve as a good starting point for further research on this topic.","Accepted for the Tackling Climate Change with Machine Learning
  Workshop at NeurIPS 2020",,,cs.CL,"['cs.CL', 'cs.AI']","['http://arxiv.org/abs/2012.00483v2', 'http://arxiv.org/pdf/2012.00483v2']",http://arxiv.org/pdf/2012.00483v2
9,http://arxiv.org/abs/2211.10884v1,2022-11-20 06:46:35+00:00,2022-11-20 06:46:35+00:00,Multi-scale Digital Twin: Developing a fast and physics-informed surrogate model for groundwater contamination with uncertain climate models,"['Lijing Wang', 'Takuya Kurihana', 'Aurelien Meray', 'Ilijana Mastilovic', 'Satyarth Praveen', 'Zexuan Xu', 'Milad Memarzadeh', 'Alexander Lavin', 'Haruko Wainwright']","Soil and groundwater contamination is a pervasive problem at thousands of locations across the world. Contaminated sites often require decades to remediate or to monitor natural attenuation. Climate change exacerbates the long-term site management problem because extreme precipitation and/or shifts in precipitation/evapotranspiration regimes could re-mobilize contaminants and proliferate affected groundwater. To quickly assess the spatiotemporal variations of groundwater contamination under uncertain climate disturbances, we developed a physics-informed machine learning surrogate model using U-Net enhanced Fourier Neural Operator (U-FNO) to solve Partial Differential Equations (PDEs) of groundwater flow and transport simulations at the site scale.We develop a combined loss function that includes both data-driven factors and physical boundary constraints at multiple spatiotemporal scales. Our U-FNOs can reliably predict the spatiotemporal variations of groundwater flow and contaminant transport properties from 1954 to 2100 with realistic climate projections. In parallel, we develop a convolutional autoencoder combined with online clustering to reduce the dimensionality of the vast historical and projected climate data by quantifying climatic region similarities across the United States. The ML-based unique climate clusters provide climate projections for the surrogate modeling and help return reliable future recharge rate projections immediately without querying large climate datasets. In all, this Multi-scale Digital Twin work can advance the field of environmental remediation under climate change.","5 pages, 2 figures, 1 table, Machine Learning and the Physical
  Sciences workshop, NeurIPS 2022",,,physics.geo-ph,"['physics.geo-ph', 'cs.AI']","['http://arxiv.org/abs/2211.10884v1', 'http://arxiv.org/pdf/2211.10884v1']",http://arxiv.org/pdf/2211.10884v1
